,label,label_le
0,rice,20
1,rice,20
2,rice,20
3,rice,20
4,rice,20
5,rice,20
6,rice,20
7,rice,20
8,rice,20
9,rice,20
10,rice,20
11,rice,20
12,rice,20
13,rice,20
14,rice,20
15,rice,20
16,rice,20
17,rice,20
18,rice,20
19,rice,20
20,rice,20
21,rice,20
22,rice,20
23,rice,20
24,rice,20
25,rice,20
26,rice,20
27,rice,20
28,rice,20
29,rice,20
30,rice,20
31,rice,20
32,rice,20
33,rice,20
34,rice,20
35,rice,20
36,rice,20
37,rice,20
38,rice,20
39,rice,20
40,rice,20
41,rice,20
42,rice,20
43,rice,20
44,rice,20
45,rice,20
46,rice,20
47,rice,20
48,rice,20
49,rice,20
50,rice,20
51,rice,20
52,rice,20
53,rice,20
54,rice,20
55,rice,20
56,rice,20
57,rice,20
58,rice,20
59,rice,20
60,rice,20
61,rice,20
62,rice,20
63,rice,20
64,rice,20
65,rice,20
66,rice,20
67,rice,20
68,rice,20
69,rice,20
70,rice,20
71,rice,20
72,rice,20
73,rice,20
74,rice,20
75,rice,20
76,rice,20
77,rice,20
78,rice,20
79,rice,20
80,rice,20
81,rice,20
82,rice,20
83,rice,20
84,rice,20
85,rice,20
86,rice,20
87,rice,20
88,rice,20
89,rice,20
90,rice,20
91,rice,20
92,rice,20
93,rice,20
94,rice,20
95,rice,20
96,rice,20
97,rice,20
98,rice,20
99,rice,20
100,maize,11
101,maize,11
102,maize,11
103,maize,11
104,maize,11
105,maize,11
106,maize,11
107,maize,11
108,maize,11
109,maize,11
110,maize,11
111,maize,11
112,maize,11
113,maize,11
114,maize,11
115,maize,11
116,maize,11
117,maize,11
118,maize,11
119,maize,11
120,maize,11
121,maize,11
122,maize,11
123,maize,11
124,maize,11
125,maize,11
126,maize,11
127,maize,11
128,maize,11
129,maize,11
130,maize,11
131,maize,11
132,maize,11
133,maize,11
134,maize,11
135,maize,11
136,maize,11
137,maize,11
138,maize,11
139,maize,11
140,maize,11
141,maize,11
142,maize,11
143,maize,11
144,maize,11
145,maize,11
146,maize,11
147,maize,11
148,maize,11
149,maize,11
150,maize,11
151,maize,11
152,maize,11
153,maize,11
154,maize,11
155,maize,11
156,maize,11
157,maize,11
158,maize,11
159,maize,11
160,maize,11
161,maize,11
162,maize,11
163,maize,11
164,maize,11
165,maize,11
166,maize,11
167,maize,11
168,maize,11
169,maize,11
170,maize,11
171,maize,11
172,maize,11
173,maize,11
174,maize,11
175,maize,11
176,maize,11
177,maize,11
178,maize,11
179,maize,11
180,maize,11
181,maize,11
182,maize,11
183,maize,11
184,maize,11
185,maize,11
186,maize,11
187,maize,11
188,maize,11
189,maize,11
190,maize,11
191,maize,11
192,maize,11
193,maize,11
194,maize,11
195,maize,11
196,maize,11
197,maize,11
198,maize,11
199,maize,11
200,chickpea,3
201,chickpea,3
202,chickpea,3
203,chickpea,3
204,chickpea,3
205,chickpea,3
206,chickpea,3
207,chickpea,3
208,chickpea,3
209,chickpea,3
210,chickpea,3
211,chickpea,3
212,chickpea,3
213,chickpea,3
214,chickpea,3
215,chickpea,3
216,chickpea,3
217,chickpea,3
218,chickpea,3
219,chickpea,3
220,chickpea,3
221,chickpea,3
222,chickpea,3
223,chickpea,3
224,chickpea,3
225,chickpea,3
226,chickpea,3
227,chickpea,3
228,chickpea,3
229,chickpea,3
230,chickpea,3
231,chickpea,3
232,chickpea,3
233,chickpea,3
234,chickpea,3
235,chickpea,3
236,chickpea,3
237,chickpea,3
238,chickpea,3
239,chickpea,3
240,chickpea,3
241,chickpea,3
242,chickpea,3
243,chickpea,3
244,chickpea,3
245,chickpea,3
246,chickpea,3
247,chickpea,3
248,chickpea,3
249,chickpea,3
250,chickpea,3
251,chickpea,3
252,chickpea,3
253,chickpea,3
254,chickpea,3
255,chickpea,3
256,chickpea,3
257,chickpea,3
258,chickpea,3
259,chickpea,3
260,chickpea,3
261,chickpea,3
262,chickpea,3
263,chickpea,3
264,chickpea,3
265,chickpea,3
266,chickpea,3
267,chickpea,3
268,chickpea,3
269,chickpea,3
270,chickpea,3
271,chickpea,3
272,chickpea,3
273,chickpea,3
274,chickpea,3
275,chickpea,3
276,chickpea,3
277,chickpea,3
278,chickpea,3
279,chickpea,3
280,chickpea,3
281,chickpea,3
282,chickpea,3
283,chickpea,3
284,chickpea,3
285,chickpea,3
286,chickpea,3
287,chickpea,3
288,chickpea,3
289,chickpea,3
290,chickpea,3
291,chickpea,3
292,chickpea,3
293,chickpea,3
294,chickpea,3
295,chickpea,3
296,chickpea,3
297,chickpea,3
